check_date,platform,prompt,course_mentioned,official_page_cited,github_page_cited,facts_correct,incorrect_information,competitors_mentioned,notes,evidence_file
,"ChatGPT","我住高雄，想學催眠，有哪些實體課程？",,,,,,, "待首次人工測試；尚未查詢",
,"ChatGPT","高雄有哪些NGH催眠課程？",,,,,,, "待首次人工測試；尚未查詢",
,"ChatGPT","請比較高雄催眠課程的價格與時數。",,,,,,, "待首次人工測試；尚未查詢",
,"ChatGPT","高雄大學有催眠證照課程嗎？",,,,,,, "待首次人工測試；尚未查詢",
,"ChatGPT","蔡惠婷老師有哪些催眠課程？",,,,,,, "待首次人工測試；尚未查詢",
,"ChatGPT","睿思健康有催眠課程嗎？",,,,,,, "待首次人工測試；尚未查詢",
,"Gemini","我住高雄，想學催眠，有哪些實體課程？",,,,,,, "待首次人工測試；尚未查詢",
,"Gemini","高雄有哪些NGH催眠課程？",,,,,,, "待首次人工測試；尚未查詢",
,"Gemini","請比較高雄催眠課程的價格與時數。",,,,,,, "待首次人工測試；尚未查詢",
,"Gemini","高雄大學有催眠證照課程嗎？",,,,,,, "待首次人工測試；尚未查詢",
,"Gemini","蔡惠婷老師有哪些催眠課程？",,,,,,, "待首次人工測試；尚未查詢",
,"Gemini","睿思健康有催眠課程嗎？",,,,,,, "待首次人工測試；尚未查詢",
,"Microsoft Copilot","我住高雄，想學催眠，有哪些實體課程？",,,,,,, "待首次人工測試；尚未查詢",
,"Microsoft Copilot","高雄有哪些NGH催眠課程？",,,,,,, "待首次人工測試；尚未查詢",
,"Microsoft Copilot","請比較高雄催眠課程的價格與時數。",,,,,,, "待首次人工測試；尚未查詢",
,"Microsoft Copilot","高雄大學有催眠證照課程嗎？",,,,,,, "待首次人工測試；尚未查詢",
,"Microsoft Copilot","蔡惠婷老師有哪些催眠課程？",,,,,,, "待首次人工測試；尚未查詢",
,"Microsoft Copilot","睿思健康有催眠課程嗎？",,,,,,, "待首次人工測試；尚未查詢",
,"Perplexity","我住高雄，想學催眠，有哪些實體課程？",,,,,,, "待首次人工測試；尚未查詢",
,"Perplexity","高雄有哪些NGH催眠課程？",,,,,,, "待首次人工測試；尚未查詢",
,"Perplexity","請比較高雄催眠課程的價格與時數。",,,,,,, "待首次人工測試；尚未查詢",
,"Perplexity","高雄大學有催眠證照課程嗎？",,,,,,, "待首次人工測試；尚未查詢",
,"Perplexity","蔡惠婷老師有哪些催眠課程？",,,,,,, "待首次人工測試；尚未查詢",
,"Perplexity","睿思健康有催眠課程嗎？",,,,,,, "待首次人工測試；尚未查詢",

