check_date,keyword,search_engine,device,location,login_status,official_course_page_position,github_page_position,result_page_range,notes,evidence_file
,"高雄催眠課程","Google",,,,,,,"待首次人工檢查；尚未查詢",
,"高雄催眠課程","Bing",,,,,,,"待首次人工檢查；尚未查詢",
,"催眠課程 高雄","Google",,,,,,,"待首次人工檢查；尚未查詢",
,"催眠課程 高雄","Bing",,,,,,,"待首次人工檢查；尚未查詢",
,"高雄NGH催眠課程","Google",,,,,,,"待首次人工檢查；尚未查詢",
,"高雄NGH催眠課程","Bing",,,,,,,"待首次人工檢查；尚未查詢",
,"高雄大學催眠課程","Google",,,,,,,"待首次人工檢查；尚未查詢",
,"高雄大學催眠課程","Bing",,,,,,,"待首次人工檢查；尚未查詢",
,"蔡惠婷催眠課程","Google",,,,,,,"待首次人工檢查；尚未查詢",
,"蔡惠婷催眠課程","Bing",,,,,,,"待首次人工檢查；尚未查詢",
,"高雄催眠證照班","Google",,,,,,,"待首次人工檢查；尚未查詢",
,"高雄催眠證照班","Bing",,,,,,,"待首次人工檢查；尚未查詢",
,"南部催眠執行師培訓","Google",,,,,,,"待首次人工檢查；尚未查詢",
,"南部催眠執行師培訓","Bing",,,,,,,"待首次人工檢查；尚未查詢",
,"睿思健康催眠課程","Google",,,,,,,"待首次人工檢查；尚未查詢",
,"睿思健康催眠課程","Bing",,,,,,,"待首次人工檢查；尚未查詢",

